년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월
201701,전라남도,전체,"가구내고용,미분류자가소비생산",79 ,"147,435 ","19,796,639 ",134.3 ,2017,01
201701,전라남도,전체,건설업 ,"3,951 ","9,868,662 ","1,438,044,413 ",145.7 ,2017,01
201701,전라남도,전체,"공공행정, 국방 및 사회보장 행정","3,611 ","25,208,980 ","3,381,348,772 ",134.1 ,2017,01
201701,전라남도,전체,광업 ,"1,155 ","6,195,876 ","974,230,919 ",157.2 ,2017,01
201701,전라남도,전체,교육 서비스업,"3,941 ","32,555,198 ","3,498,760,690 ",107.5 ,2017,01
201701,전라남도,전체,금융 및 보험업 ,"1,113 ","5,769,020 ","793,407,491 ",137.5 ,2017,01
201701,전라남도,전체,"농업, 임업 및 어업 ","241,285 ","266,619,017 ","12,744,770,976 ",47.8 ,2017,01
201701,전라남도,전체,도매 및 소매업,"28,977 ","55,968,060 ","7,467,407,510 ",133.4 ,2017,01
201701,전라남도,전체,보건업 및 사회복지 서비스업,"4,474 ","32,026,218 ","3,729,979,055 ",116.5 ,2017,01
201701,전라남도,전체,부동산업 및 임대업 ,"26,545 ","51,076,236 ","7,124,646,943 ",139.5 ,2017,01
201701,전라남도,전체,"사업시설관리,사업지원서비스업","5,682 ","6,114,560 ","873,950,813 ",142.9 ,2017,01
201701,전라남도,전체,숙박 및 음식점업 ,"29,888 ","72,288,065 ","9,270,057,043 ",128.2 ,2017,01
201701,전라남도,전체,"예술,스포츠및여가관련서비스업","3,931 ","18,146,019 ","2,576,021,522 ",142 ,2017,01
201701,전라남도,전체,운수업,"22,919 ","39,463,791 ","3,344,744,988 ",84.8 ,2017,01
201701,전라남도,전체,"전기, 가스, 증기 및 수도사업 ","6,033 ","63,461,844 ","8,129,312,403 ",128.1 ,2017,01
201701,전라남도,전체,"전문, 과학 및 기술 서비스업 ","1,708 ","4,844,196 ","668,928,893 ",138.1 ,2017,01
201701,전라남도,전체,제조업 ,"10,580 ","1,870,429,304 ","195,552,251,331 ",104.5 ,2017,01
