년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월
201701,충청남도,전체,"가구내고용,미분류자가소비생산",6 ,"6,985 ","845,815 ",121.1 ,2017,01
201701,충청남도,전체,건설업 ,"5,524 ","35,330,512 ","4,574,174,250 ",129.5 ,2017,01
201701,충청남도,전체,"공공행정, 국방 및 사회보장 행정","1,850 ","25,351,196 ","3,331,946,122 ",131.4 ,2017,01
201701,충청남도,전체,광업 ,380 ,"25,711,720 ","3,336,207,394 ",129.8 ,2017,01
201701,충청남도,전체,교육 서비스업,"3,360 ","54,329,864 ","5,546,541,093 ",102.1 ,2017,01
201701,충청남도,전체,국제 및 외국기관,5호미만제거,-,-,-,2017,01
201701,충청남도,전체,금융 및 보험업 ,937 ,"6,272,661 ","839,819,869 ",133.9 ,2017,01
201701,충청남도,전체,"농업, 임업 및 어업 ","171,655 ","179,699,156 ","8,727,201,728 ",48.6 ,2017,01
201701,충청남도,전체,도매 및 소매업,"35,416 ","78,443,322 ","10,375,220,329 ",132.3 ,2017,01
201701,충청남도,전체,보건업 및 사회복지 서비스업,"4,109 ","29,053,405 ","3,272,650,254 ",112.6 ,2017,01
201701,충청남도,전체,부동산업 및 임대업 ,"35,191 ","81,187,741 ","11,295,547,467 ",139.1 ,2017,01
201701,충청남도,전체,"사업시설관리,사업지원서비스업","4,976 ","8,266,617 ","1,169,944,650 ",141.5 ,2017,01
201701,충청남도,전체,숙박 및 음식점업 ,"32,104 ","83,107,269 ","10,815,936,925 ",130.1 ,2017,01
201701,충청남도,전체,"예술,스포츠및여가관련서비스업","3,950 ","18,437,612 ","2,539,316,225 ",137.7 ,2017,01
201701,충청남도,전체,운수업,"10,249 ","27,727,782 ","3,101,771,846 ",111.9 ,2017,01
201701,충청남도,전체,"전기, 가스, 증기 및 수도사업 ","5,259 ","70,651,100 ","9,926,246,083 ",140.5 ,2017,01
201701,충청남도,전체,"전문, 과학 및 기술 서비스업 ","2,043 ","10,422,016 ","1,319,248,420 ",126.6 ,2017,01
201701,충청남도,전체,제조업 ,"14,203 ","3,048,401,309 ","333,882,120,985 ",109.5 ,2017,01
201701,충청남도,전체,"출판영상,방송통신정보서비스업","10,032 ","19,881,662 ","2,382,779,393 ",119.8 ,2017,01
201701,충청남도,전체,하수폐기처리원료재생환경복원,"2,112 ","44,139,771 ","5,091,053,180 ",115.3 ,2017,01
201701,충청남도,전체,"협회단체,수리기타개인서비스업","12,942 ","32,098,494 ","4,403,376,153 ",137.2 ,2017,01
201701,충청남도,전체,합계,"356,298 ","3,878,520,194 ","425,931,948,181 ",109.8,2017,01
201702,충청남도,전체,"가구내고용,미분류자가소비생산",6 ,"6,821 ","831,702 ",121.9 ,2017,02
201702,충청남도,전체,건설업 ,"5,461 ","45,011,162 ","5,495,802,652 ",122.1 ,2017,02
201702,충청남도,전체,"공공행정, 국방 및 사회보장 행정","1,853 ","25,726,586 ","3,371,106,593 ",131 ,2017,02
201702,충청남도,전체,광업 ,383 ,"24,817,853 ","3,244,666,747 ",130.7 ,2017,02
