년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh),연도,월,사용량
201701,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",528 ,"571,710 ","86,427,025 ",151.2 ,2017,01,571710.0
201701,전체(시도),전체(시 / 군 / 구),건설업 ,"70,529 ","367,547,850 ","49,248,531,866 ",134.0 ,2017,01,367547850.0
201701,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","34,768 ","535,494,134 ","69,556,707,643 ",129.9 ,2017,01,535494134.0
201701,전체(시도),전체(시 / 군 / 구),광업 ,"4,614 ","154,468,194 ","21,722,675,394 ",140.6 ,2017,01,154468194.0
201701,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,866 ","891,054,335 ","90,642,321,916 ",101.7 ,2017,01,891054335.0
201701,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,233 ,"57,783,469 ","6,500,966,146 ",112.5 ,2017,01,57783469.0
201701,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"16,122 ","165,946,970 ","22,364,935,084 ",134.8 ,2017,01,165946970.0
201701,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업 ","1,555,874 ","1,549,793,148 ","75,553,705,446 ",48.8 ,2017,01,1549793148.0
201701,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"669,819 ","1,805,522,952 ","239,356,314,719 ",132.6 ,2017,01,1805522952.0
201701,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,933 ","591,170,886 ","69,127,373,658 ",116.9 ,2017,01,591170886.0
201701,전체(시도),전체(시 / 군 / 구),부동산업 및 임대업 ,"908,299 ","3,018,608,538 ","415,187,716,245 ",137.5 ,2017,01,3018608538.0
201701,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원서비스업","84,628 ","147,327,140 ","20,427,075,676 ",138.7 ,2017,01,147327140.0
201701,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업 ,"522,767 ","1,424,647,342 ","184,167,029,315 ",129.3 ,2017,01,1424647342.0
201701,전체(시도),전체(시 / 군 / 구),"예술,스포츠및여가관련서비스업","74,786 ","413,747,159 ","56,061,433,802 ",135.5 ,2017,01,413747159.0
201701,전체(시도),전체(시 / 군 / 구),운수업,"143,026 ","909,508,341 ","107,629,584,042 ",118.3 ,2017,01,909508341.0
201701,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 수도사업 ","67,650 ","1,084,729,028 ","131,863,317,085 ",121.6 ,2017,01,1084729028.0
201701,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업 ","34,946 ","237,655,823 ","30,882,710,681 ",129.9 ,2017,01,237655823.0
201701,전체(시도),전체(시 / 군 / 구),제조업 ,"325,310 ","21,727,860,352 ","2,464,079,884,929 ",113.4 ,2017,01,21727860352.0
201701,전체(시도),전체(시 / 군 / 구),"출판영상,방송통신정보서비스업","190,904 ","579,419,905 ","68,827,389,568 ",118.8 ,2017,01,579419905.0
201701,전체(시도),전체(시 / 군 / 구),하수폐기처리원료재생환경복원,"37,247 ","552,484,861 ","66,105,310,019 ",119.7 ,2017,01,552484861.0
201701,전체(시도),전체(시 / 군 / 구),"협회단체,수리기타개인서비스업","232,437 ","620,031,170 ","84,081,745,000 ",135.6 ,2017,01,620031170.0
201702,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",524 ,"600,156 ","87,086,707 ",145.1 ,2017,02,600156.0
201702,전체(시도),전체(시 / 군 / 구),건설업 ,"69,655 ","381,622,453 ","50,408,034,085 ",132.1 ,2017,02,381622453.0
201702,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","34,841 ","552,309,291 ","71,505,441,872 ",129.5 ,2017,02,552309291.0
201702,전체(시도),전체(시 / 군 / 구),광업 ,"4,617 ","145,256,088 ","20,767,230,188 ",143.0 ,2017,02,145256088.0
201702,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,925 ","889,270,529 ","91,063,688,807 ",102.4 ,2017,02,889270529.0
201702,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,233 ,"61,677,624 ","6,851,825,312 ",111.1 ,2017,02,61677624.0
201702,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"16,114 ","168,842,125 ","22,732,084,522 ",134.6 ,2017,02,168842125.0
201702,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업 ","1,555,683 ","1,662,764,170 ","79,974,970,677 ",48.1 ,2017,02,1662764170.0
201702,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"668,624 ","1,815,165,293 ","240,507,266,937 ",132.5 ,2017,02,1815165293.0
201702,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,935 ","605,833,263 ","70,269,091,695 ",116.0 ,2017,02,605833263.0
201702,전체(시도),전체(시 / 군 / 구),부동산업 및 임대업 ,"912,123 ","3,099,996,617 ","422,809,231,572 ",136.4 ,2017,02,3099996617.0
201702,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원서비스업","84,335 ","150,616,938 ","20,801,273,992 ",138.1 ,2017,02,150616938.0
201702,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업 ,"522,397 ","1,448,886,953 ","186,704,155,811 ",128.9 ,2017,02,1448886953.0
201702,전체(시도),전체(시 / 군 / 구),"예술,스포츠및여가관련서비스업","74,798 ","417,113,865 ","56,697,181,322 ",135.9 ,2017,02,417113865.0
201702,전체(시도),전체(시 / 군 / 구),운수업,"143,255 ","873,707,459 ","105,001,093,929 ",120.2 ,2017,02,873707459.0
201702,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 수도사업 ","67,709 ","1,013,950,538 ","129,099,238,525 ",127.3 ,2017,02,1013950538.0
