산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2022년 07 월 ~ 2022년 12월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
202207,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",420 ,"326,343 ","63,959,434 ",196.0 
202207,전체(시도),전체(시 / 군 / 구),건설업 ,"87,238 ","336,182,248 ","56,642,710,481 ",168.5 
202207,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","49,704 ","560,903,080 ","89,617,833,137 ",159.8 
202207,전체(시도),전체(시 / 군 / 구),광업 ,"3,729 ","143,113,351 ","22,983,730,012 ",160.6 
202207,전체(시도),전체(시 / 군 / 구),교육 서비스업,"72,483 ","828,178,070 ","108,696,429,656 ",131.2 
202207,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,232 ,"66,147,727 ","7,213,306,732 ",109.0 
202207,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"15,563 ","146,762,383 ","23,469,040,974 ",159.9 
202207,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업 ","1,909,148 ","1,454,317,457 ","90,230,341,846 ",62.0 
202207,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"575,434 ","1,944,330,923 ","292,498,669,159 ",150.4 
202207,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,192 ","624,929,540 ","88,408,447,175 ",141.5 
202207,전체(시도),전체(시 / 군 / 구),부동산업 및 임대업 ,"1,224,458 ","3,877,730,525 ","618,967,517,424 ",159.6 
202207,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원서비스업","69,832 ","132,094,019 ","21,663,058,530 ",164.0 
202207,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업 ,"499,229 ","1,505,200,790 ","228,605,500,139 ",151.9 
202207,전체(시도),전체(시 / 군 / 구),"예술,스포츠및여가관련서비스업","67,404 ","433,346,997 ","67,034,988,328 ",154.7 
202207,전체(시도),전체(시 / 군 / 구),운수업,"182,808 ","1,156,552,652 ","154,352,525,969 ",133.5 
202207,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 수도사업 ","147,624 ","1,259,374,310 ","172,210,485,018 ",136.7 
202207,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업 ","33,652 ","345,948,098 ","49,466,656,286 ",143.0 
202207,전체(시도),전체(시 / 군 / 구),제조업 ,"359,393 ","23,572,733,819 ","3,033,844,663,675 ",128.7 
202207,전체(시도),전체(시 / 군 / 구),"출판영상,방송통신정보서비스업","244,549 ","929,989,287 ","120,426,076,677 ",129.5 
202207,전체(시도),전체(시 / 군 / 구),하수폐기처리원료재생환경복원,"37,974 ","585,280,138 ","77,852,844,752 ",133.0 
202207,전체(시도),전체(시 / 군 / 구),"협회단체,수리기타개인서비스업","213,943 ","414,360,555 ","72,313,815,492 ",174.5 
202208,전체(시도),전체(시 / 군 / 구),"가구내고용,미분류자가소비생산",420 ,"356,873 ","66,894,113 ",187.4 
202208,전체(시도),전체(시 / 군 / 구),건설업 ,"87,256 ","356,525,914 ","59,137,321,673 ",165.9 
202208,전체(시도),전체(시 / 군 / 구),"공공행정, 국방 및 사회보장 행정","49,849 ","609,306,342 ","96,696,283,537 ",158.7 
202208,전체(시도),전체(시 / 군 / 구),광업 ,"3,731 ","138,597,596 ","22,240,132,363 ",160.5 
202208,전체(시도),전체(시 / 군 / 구),교육 서비스업,"72,432 ","739,778,304 ","101,867,395,728 ",137.7 
202208,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,230 ,"72,885,106 ","7,852,448,704 ",107.7 
202208,전체(시도),전체(시 / 군 / 구),금융 및 보험업 ,"15,550 ","155,280,072 ","24,489,247,887 ",157.7 
202208,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업 ","1,916,400 ","1,712,491,538 ","104,728,739,545 ",61.2 
202208,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"574,773 ","2,079,313,746 ","309,244,904,770 ",148.7 
202208,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,221 ","664,747,308 ","92,674,143,964 ",139.4 
202208,전체(시도),전체(시 / 군 / 구),부동산업 및 임대업 ,"1,229,725 ","4,186,228,202 ","657,332,449,163 ",157.0 
202208,전체(시도),전체(시 / 군 / 구),"사업시설관리,사업지원서비스업","69,661 ","141,454,426 ","22,836,555,493 ",161.4 
202208,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업 ,"499,876 ","1,694,386,519 ","252,443,181,452 ",149.0 
