,연도,구분,기본요금 기준,기본요금,전력량요금 기준,요금 (원)
12,2017,저압,200kWh이하 사용,910,처음 200kWh까지,93.3
13,2017,저압,201~400kWh 사용,1600,다음 200kWh까지,187.9
14,2017,저압,400kWh초과 사용,7300,400kWh초과,280.6
15,2017,고압,200kWh이하 사용,730,처음 200kWh까지,78.3
16,2017,고압,201~400kWh 사용,1260,다음 200kWh까지,147.3
17,2017,고압,400kWh초과 사용,6060,400kWh초과,215.6
18,2019,저압,200kWh이하 사용,910,처음 200kWh까지,93.3
19,2019,저압,201~400kWh 사용,1600,다음 200kWh까지,187.9
20,2019,저압,400kWh초과 사용,7300,400kWh초과,280.6
21,2019,고압,200kWh이하 사용,730,처음 200kWh까지,78.3
22,2019,고압,201~400kWh 사용,1260,다음 200kWh까지,147.3
23,2019,고압,400kWh초과 사용,6060,400kWh초과,215.6
24,2021,저압,200kWh이하 사용,910,처음 200kWh까지,88.3
25,2021,저압,201~400kWh 사용,1600,다음 200kWh까지,182.9
26,2021,저압,400kWh초과 사용,7300,400kWh초과,275.6
27,2021,고압,200kWh이하 사용,730,처음 200kWh까지,73.3
28,2021,고압,201~400kWh 사용,1260,다음 200kWh까지,142.3
29,2021,고압,400kWh초과 사용,6060,400kWh초과,210.6
