지역,2018,2019,2020,2021,2022,2018_2022
강원도,25561650294.0,24898491742.0,24340887952.0,25397437398.0,26477139984.0,126675607370.0
경기도,197553000000.0,198509000000.0,200679000000.0,218209000000.0,231666000000.0,1046616000000.0
경상남도,58018418924.0,56866648018.0,55763022788.0,59314585678.0,60056249280.0,290018924688.0
경상북도,81225227656.0,78262489860.0,71512450242.0,78212099526.0,78784527334.0,387996794618.0
광주광역시,12875605344.0,12582030084.0,12245092806.0,13093794002.0,13307964750.0,64104486986.0
대구광역시,23610513712.0,22979784576.0,21710385694.0,23050255248.0,23896470256.0,115247409486.0
전라남도,61366142240.0,58026386998.0,55082538578.0,60217861408.0,62529708772.0,297222637996.0
전라북도,38456572718.0,37304057318.0,33763442786.0,35786997160.0,36466110842.0,181777180824.0
전체(시도),432561000000.0,428502000000.0,415439000000.0,439577000000.0,452863000000.0,2168942000000.0
제주특별자치도,8465245736.0,8641230066.0,8526872854.0,9061184918.0,9697304348.0,44391837922.0
충청남도,93628311170.0,95194631584.0,90895085070.0,88383849156.0,91023411418.0,459125288398.0
충청북도,44701509300.0,45895361610.0,46172487470.0,49066987020.0,51016056094.0,236852401494.0
대전광역시,14335217136.0,14001570068.0,13928127466.0,14647259440.0,15138179938.0,72050354048.0
부산광역시,31527148258.0,30863048626.0,29949109072.0,31001029598.0,31722680322.0,155063015876.0
서울특별시,65299377728.0,64622897814.0,61188318910.0,63374154554.0,66282141380.0,320766890386.0
세종특별자치시,4941669512.0,5140155382.0,5384635204.0,7107467284.0,4806420400.0,27380347782.0
울산광역시,63442062964.0,64254967286.0,62234756844.0,63417191692.0,62031836166.0,315380814952.0
인천광역시,39953586200.0,38799398892.0,37343947528.0,39645665966.0,40596077740.0,196338676326.0
