산업분류별 월별 전력사용량 ( 20241011 현재 ),,,,,,,
"시도 : 전체(시도), 시군구 : 전체(시 / 군 / 구)",,,,,,,
기간 : 2018년 01 월 ~ 2018년 06월,,,,,,,
년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),전기요금(원),평균판매단가(원/kWh)
201801,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,501 ,"589,438 ","85,523,526 ",145.1 
201801,전체(시도),전체(시 / 군 / 구),건설업,"74,208 ","400,175,928 ","52,638,538,048 ",131.5 
201801,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","36,355 ","598,452,074 ","76,474,274,296 ",127.8 
201801,전체(시도),전체(시 / 군 / 구),광업,"3,691 ","126,506,746 ","17,937,136,497 ",141.8 
201801,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,600 ","1,048,822,226 ","106,286,035,701 ",101.3 
201801,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,232 ,"68,962,433 ","7,468,094,435 ",108.3 
201801,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,824 ","169,542,808 ","22,590,365,087 ",133.2 
201801,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,619,044 ","1,732,527,183 ","83,734,005,762 ",48.3 
201801,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"652,520 ","1,920,974,424 ","251,001,230,998 ",130.7 
201801,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,542 ","644,325,979 ","74,637,159,674 ",115.8 
201801,전체(시도),전체(시 / 군 / 구),부동산업,"957,237 ","3,467,946,644 ","466,313,731,393 ",134.5 
201801,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","88,413 ","181,027,229 ","25,104,239,565 ",138.7 
201801,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","93,439 ","1,017,947,791 ","121,738,607,549 ",119.6 
201801,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"510,280 ","1,521,404,986 ","193,556,995,185 ",127.2 
201801,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","74,085 ","446,757,442 ","59,298,096,109 ",132.7 
201801,전체(시도),전체(시 / 군 / 구),운수 및 창고업,"150,529 ","997,708,123 ","119,553,869,138 ",119.8 
201801,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 공기 조절 공급업","15,356 ","656,549,867 ","84,314,677,522 ",128.4 
201801,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업","33,862 ","275,926,710 ","35,630,202,646 ",129.1 
201801,전체(시도),전체(시 / 군 / 구),정보통신업,"184,019 ","639,348,115 ","75,384,414,820 ",117.9 
201801,전체(시도),전체(시 / 군 / 구),제조업,"337,335 ","22,609,240,498 ","2,585,866,565,925 ",114.4 
201801,전체(시도),전체(시 / 군 / 구),"협회 및 단체, 수리 및 기타 개인 서비스업","221,696 ","657,279,837 ","86,697,602,038 ",131.9 
201802,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,498 ,"611,942 ","87,945,127 ",143.7 
201802,전체(시도),전체(시 / 군 / 구),건설업,"73,198 ","406,570,848 ","53,503,697,248 ",131.6 
201802,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","36,549 ","612,731,082 ","78,112,347,423 ",127.5 
201802,전체(시도),전체(시 / 군 / 구),광업,"3,681 ","115,164,466 ","16,703,160,863 ",145.0 
201802,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,860 ","1,022,048,397 ","104,596,144,083 ",102.3 
201802,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,234 ,"74,270,037 ","7,957,745,830 ",107.1 
201802,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,837 ","170,781,442 ","22,709,206,391 ",133.0 
201802,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","1,618,538 ","1,837,287,999 ","88,125,416,761 ",48.0 
201802,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"651,524 ","1,932,899,556 ","251,221,946,084 ",130.0 
201802,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,557 ","651,321,641 ","74,927,933,792 ",115.0 
201802,전체(시도),전체(시 / 군 / 구),부동산업,"964,329 ","3,531,674,993 ","473,388,845,787 ",134.0 
201802,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","88,339 ","191,929,506 ","25,975,371,982 ",135.3 
201802,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","93,377 ","996,281,704 ","117,674,418,028 ",118.1 
201802,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"509,975 ","1,534,709,824 ","194,743,054,928 ",126.9 
201802,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","73,935 ","452,090,206 ","59,803,051,145 ",132.3 
201802,전체(시도),전체(시 / 군 / 구),운수 및 창고업,"150,844 ","947,769,206 ","114,090,416,757 ",120.4 
201802,전체(시도),전체(시 / 군 / 구),"전기, 가스, 증기 및 공기 조절 공급업","16,248 ","600,123,005 ","76,677,580,789 ",127.8 
201802,전체(시도),전체(시 / 군 / 구),"전문, 과학 및 기술 서비스업","33,841 ","259,521,851 ","33,559,559,638 ",129.3 
201802,전체(시도),전체(시 / 군 / 구),정보통신업,"184,799 ","625,298,491 ","73,678,647,213 ",117.8 
201802,전체(시도),전체(시 / 군 / 구),제조업,"338,113 ","20,750,132,814 ","2,367,048,856,668 ",114.1 
201802,전체(시도),전체(시 / 군 / 구),"협회 및 단체, 수리 및 기타 개인 서비스업","221,906 ","683,386,385 ","89,760,516,005 ",131.3 
201803,전체(시도),전체(시 / 군 / 구),가구내고용활동및달리분류되지않은자가소비생산활동,497 ,"491,314 ","70,257,502 ",143.0 
201803,전체(시도),전체(시 / 군 / 구),건설업,"72,903 ","309,167,505 ","39,409,170,995 ",127.5 
201803,전체(시도),전체(시 / 군 / 구),"공공 행정, 국방 및 사회보장 행정","36,700 ","476,975,715 ","56,957,702,911 ",119.4 
201803,전체(시도),전체(시 / 군 / 구),광업,"3,669 ","123,325,814 ","15,099,877,305 ",122.4 
201803,전체(시도),전체(시 / 군 / 구),교육 서비스업,"69,806 ","832,167,240 ","84,620,726,691 ",101.7 
201803,전체(시도),전체(시 / 군 / 구),국제 및 외국기관,235 ,"58,349,155 ","6,362,074,167 ",109.0 
201803,전체(시도),전체(시 / 군 / 구),금융 및 보험업,"15,852 ","136,551,562 ","16,933,859,753 ",124.0 
201803,전체(시도),전체(시 / 군 / 구),"농업, 임업 및 어업","2,157,558 ","1,476,205,881 ","71,986,150,199 ",48.8 
201803,전체(시도),전체(시 / 군 / 구),도매 및 소매업,"649,834 ","1,564,641,449 ","190,774,822,427 ",121.9 
201803,전체(시도),전체(시 / 군 / 구),보건업 및 사회복지 서비스업,"68,499 ","519,207,903 ","55,756,282,851 ",107.4 
201803,전체(시도),전체(시 / 군 / 구),부동산업,"966,259 ","2,732,936,048 ","349,458,918,150 ",127.9 
201803,전체(시도),전체(시 / 군 / 구),"사업시설 관리, 사업 지원 및 임대 서비스업","88,011 ","144,220,290 ","18,779,046,928 ",130.2 
201803,전체(시도),전체(시 / 군 / 구),"수도, 하수 및 폐기물 처리, 원료 재생업","93,268 ","975,114,189 ","99,587,097,919 ",102.1 
201803,전체(시도),전체(시 / 군 / 구),숙박 및 음식점업,"509,067 ","1,205,081,791 ","147,413,511,771 ",122.3 
201803,전체(시도),전체(시 / 군 / 구),"예술, 스포츠 및 여가관련 서비스업","73,695 ","354,507,387 ","44,811,785,504 ",126.4 
